path	filename	ext	date_in_name	has_frontmatter	incoming_links	size_bytes	mtime	parent_folder
Areas/finance/2026-04-06-finance-backup-2026-04-06.md	2026-04-06-finance-backup-2026-04-06.md	md	2026-04-06	Y	0	72859	2026-05-14	Areas/finance
Areas/finance/2026-04-06-personal-finance-dashboard-prd.md	2026-04-06-personal-finance-dashboard-prd.md	md	2026-04-06	Y	0	22835	2026-05-14	Areas/finance
Areas/finance/2026-04-11-finance-backup-2026-04-11.md	2026-04-11-finance-backup-2026-04-11.md	md	2026-04-11	Y	0	3713	2026-05-14	Areas/finance
Areas/finance/2026-04-11-portfolio-strategy.md	2026-04-11-portfolio-strategy.md	md	2026-04-11	Y	0	4011	2026-05-14	Areas/finance
Areas/finance/2026-04-15-finance-backup-2026-04-15.md	2026-04-15-finance-backup-2026-04-15.md	md	2026-04-15	Y	0	20234	2026-05-14	Areas/finance
Areas/finance/2026-04-15-finance-labels.md	2026-04-15-finance-labels.md	md	2026-04-15	Y	0	1024	2026-05-14	Areas/finance
Areas/finance/2026-04-15-two-file-prd-authoring-plan.md	2026-04-15-two-file-prd-authoring-plan.md	md	2026-04-15	Y	0	10142	2026-05-14	Areas/finance
Areas/finance/2026-04-16-personal-finance-dashboard-user-manual.md	2026-04-16-personal-finance-dashboard-user-manual.md	md	2026-04-16	Y	0	15997	2026-05-14	Areas/finance
Areas/finance/2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	md	2026-04-21	Y	0	8878	2026-05-14	Areas/finance
Areas/finance/2026-04-21-changelog.md	2026-04-21-changelog.md	md	2026-04-21	Y	0	1463	2026-05-14	Areas/finance
Areas/finance/2026-04-22-codex-pr-body.md	2026-04-22-codex-pr-body.md	md	2026-04-22	Y	0	1121	2026-05-14	Areas/finance
Areas/finance/2026-04-23-execution-playbook-mvp-sprint.md	2026-04-23-execution-playbook-mvp-sprint.md	md	2026-04-23	Y	0	16099	2026-05-14	Areas/finance
Areas/finance/2026-04-23-ideas-finance-tracker.md	2026-04-23-ideas-finance-tracker.md	md	2026-04-23	Y	0	6670	2026-05-14	Areas/finance
Areas/finance/2026-04-23-prd-equity-section-automatic-investment-tracking.md	2026-04-23-prd-equity-section-automatic-investment-tracking.md	md	2026-04-23	Y	0	17599	2026-05-14	Areas/finance
Areas/finance/2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	md	2026-04-23	Y	0	12849	2026-05-14	Areas/finance
Areas/finance/2026-04-24-codex-synced-branch.md	2026-04-24-codex-synced-branch.md	md	2026-04-24	Y	0	414	2026-05-14	Areas/finance
Areas/finance/2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	md	2026-04-24	Y	0	22606	2026-05-14	Areas/finance
Areas/finance/2026-04-24-prd-portfolio-section-redesign-timelineledger.md	2026-04-24-prd-portfolio-section-redesign-timelineledger.md	md	2026-04-24	Y	0	28284	2026-05-14	Areas/finance
Areas/finance/2026-04-25-finance-backup-2026-04-25.md	2026-04-25-finance-backup-2026-04-25.md	md	2026-04-25	Y	0	1775143	2026-05-14	Areas/finance
Areas/finance/2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	md	2026-04-28	Y	0	3336	2026-05-14	Areas/finance
Areas/finance/2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	md	2026-04-30	Y	0	17305	2026-05-14	Areas/finance
Areas/finance/2026-04-30-package.md	2026-04-30-package.md	md	2026-04-30	Y	0	962	2026-05-14	Areas/finance
Areas/finance/2026-04-30-portfolio-overhaul-test-report.md	2026-04-30-portfolio-overhaul-test-report.md	md	2026-04-30	Y	0	7883	2026-05-14	Areas/finance
Areas/finance/2026-04-30-prd-portfolio-feature-overhaul.md	2026-04-30-prd-portfolio-feature-overhaul.md	md	2026-04-30	Y	0	22519	2026-05-14	Areas/finance
Areas/finance/2026-04-30-settingslocal.md	2026-04-30-settingslocal.md	md	2026-04-30	Y	0	2038	2026-05-14	Areas/finance
Areas/finance/2026-05-06-chrome.md	2026-05-06-chrome.md	md	2026-05-06	Y	0	4034	2026-05-14	Areas/finance
Areas/finance/2026-05-06-dashboard-ui-kit.md	2026-05-06-dashboard-ui-kit.md	md	2026-05-06	Y	0	1761	2026-05-14	Areas/finance
Areas/finance/2026-05-06-extrascreens.md	2026-05-06-extrascreens.md	md	2026-05-06	Y	0	15436	2026-05-14	Areas/finance
Areas/finance/2026-05-06-icon.md	2026-05-06-icon.md	md	2026-05-06	Y	0	4217	2026-05-14	Areas/finance
Areas/finance/2026-05-06-index.md	2026-05-06-index.md	md	2026-05-06	Y	0	284	2026-05-14	Areas/finance
Areas/finance/2026-05-06-kit.md	2026-05-06-kit.md	md	2026-05-06	Y	0	13828	2026-05-14	Areas/finance
Areas/finance/2026-05-06-overlays.md	2026-05-06-overlays.md	md	2026-05-06	Y	0	4079	2026-05-14	Areas/finance
Areas/finance/2026-05-06-screens.md	2026-05-06-screens.md	md	2026-05-06	Y	0	9925	2026-05-14	Areas/finance
Areas/finance/2026-05-06-viteconfig.md	2026-05-06-viteconfig.md	md	2026-05-06	Y	0	1448	2026-05-14	Areas/finance
Areas/finance/2026-05-07-claudemd.md	2026-05-07-claudemd.md	md	2026-05-07	Y	0	12122	2026-05-14	Areas/finance
Areas/finance/2026-05-07-component-specs-keep-dashboard.md	2026-05-07-component-specs-keep-dashboard.md	md	2026-05-07	Y	0	5944	2026-05-14	Areas/finance
Areas/finance/2026-05-07-eslintconfig.md	2026-05-07-eslintconfig.md	md	2026-05-07	Y	0	1190	2026-05-14	Areas/finance
Areas/finance/2026-05-07-handoff-verification-checklist.md	2026-05-07-handoff-verification-checklist.md	md	2026-05-07	Y	0	2395	2026-05-14	Areas/finance
Areas/finance/2026-05-07-index.md	2026-05-07-index.md	md	2026-05-07	Y	0	237	2026-05-14	Areas/finance
Areas/finance/2026-05-07-launch.md	2026-05-07-launch.md	md	2026-05-07	Y	0	795	2026-05-14	Areas/finance
Areas/finance/2026-05-07-package-lock.md	2026-05-07-package-lock.md	md	2026-05-07	Y	0	185169	2026-05-14	Areas/finance
Areas/finance/2026-05-07-personal-finance-dashboard.md	2026-05-07-personal-finance-dashboard.md	md	2026-05-07	Y	0	1239	2026-05-14	Areas/finance
Areas/finance/2026-05-07-screen-acceptance-keep-dashboard.md	2026-05-07-screen-acceptance-keep-dashboard.md	md	2026-05-07	Y	0	4564	2026-05-14	Areas/finance
Areas/finance/2026-05-08-chart-vendor-doy70yrx.md	2026-05-08-chart-vendor-doy70yrx.md	md	2026-05-08	Y	0	63478	2026-05-14	Areas/finance
Areas/finance/2026-05-08-index-cgldgdip.md	2026-05-08-index-cgldgdip.md	md	2026-05-08	Y	0	7325	2026-05-14	Areas/finance
Areas/finance/2026-05-08-index-csi9tfv7.md	2026-05-08-index-csi9tfv7.md	md	2026-05-08	Y	0	210872	2026-05-14	Areas/finance
Areas/finance/2026-05-08-index.md	2026-05-08-index.md	md	2026-05-08	Y	0	242	2026-05-14	Areas/finance
Areas/finance/2026-05-08-recharts-btd9jxd1.md	2026-05-08-recharts-btd9jxd1.md	md	2026-05-08	Y	0	485062	2026-05-14	Areas/finance
Areas/finance/2026-05-08-xlsx-d-0l8yds.md	2026-05-08-xlsx-d-0l8yds.md	md	2026-05-08	Y	0	429863	2026-05-14	Areas/finance
Areas/finance/_index.md	_index.md	md		N	36	753	2026-05-14	Areas/finance
Areas/personal/2020-02-27-2018-06-13-nachtje-door-halen.md	2020-02-27-2018-06-13-nachtje-door-halen.md	md	2020-02-27	Y	0	3285	2026-05-14	Areas/personal
Areas/personal/2020-02-27-chapter-uno.md	2020-02-27-chapter-uno.md	md	2020-02-27	Y	0	4374	2026-05-14	Areas/personal
Areas/personal/2020-03-30-you.md	2020-03-30-you.md	md	2020-03-30	Y	0	2121	2026-05-14	Areas/personal
Areas/personal/2020-04-16-i-guess-this-is-my-life.md	2020-04-16-i-guess-this-is-my-life.md	md	2020-04-16	Y	0	2982	2026-05-14	Areas/personal
Areas/personal/2020-04-30-spanje.md	2020-04-30-spanje.md	md	2020-04-30	Y	0	4761	2026-05-14	Areas/personal
Areas/personal/2023-03-12-cv-thomas-tiemen-wielinga.md	2023-03-12-cv-thomas-tiemen-wielinga.md	md	2023-03-12	Y	0	2726	2026-05-14	Areas/personal
Areas/personal/2024-01-14-2024-01-14-cv-thomas-tiemen-wielinga.md	2024-01-14-2024-01-14-cv-thomas-tiemen-wielinga.md	md	2024-01-14	Y	0	4300	2026-05-14	Areas/personal
Areas/personal/2024-01-24-2024-01-24-cv-thomas-tiemen-wielinga.md	2024-01-24-2024-01-24-cv-thomas-tiemen-wielinga.md	md	2024-01-24	Y	0	4333	2026-05-14	Areas/personal
Areas/personal/2024-02-29-internship-selection-form-thomas-wielinga.md	2024-02-29-internship-selection-form-thomas-wielinga.md	md	2024-02-29	Y	0	3676	2026-05-14	Areas/personal
Areas/personal/2024-04-23-internship-company-scan-thomas-wielinga.md	2024-04-23-internship-company-scan-thomas-wielinga.md	md	2024-04-23	Y	0	10374	2026-05-14	Areas/personal
Areas/personal/2024-08-21-loonheffingen-thomas-wielinga.md	2024-08-21-loonheffingen-thomas-wielinga.md	md	2024-08-21	Y	0	5810	2026-05-14	Areas/personal
Areas/personal/2024-09-04-interview-guide.md	2024-09-04-interview-guide.md	md	2024-09-04	Y	0	3271	2026-05-14	Areas/personal
Areas/personal/2024-09-05-3-exhibit-b-handover-schedule-copy.md	2024-09-05-3-exhibit-b-handover-schedule-copy.md	md	2024-09-05	Y	0	2463	2026-05-14	Areas/personal
Areas/personal/2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	md	2024-09-16	Y	0	5700	2026-05-14	Areas/personal
Areas/personal/2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	md	2024-09-24	Y	0	1431	2026-05-14	Areas/personal
Areas/personal/2024-09-25-research-structure.md	2024-09-25-research-structure.md	md	2024-09-25	Y	0	4393	2026-05-14	Areas/personal
Areas/personal/2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	md	2024-10-09	Y	0	54470	2026-05-14	Areas/personal
Areas/personal/2024-10-15-midterm-evaluation-company-mentor.md	2024-10-15-midterm-evaluation-company-mentor.md	md	2024-10-15	Y	0	3738	2026-05-14	Areas/personal
Areas/personal/2024-10-15-midterm-evaluation-form.md	2024-10-15-midterm-evaluation-form.md	md	2024-10-15	Y	0	3718	2026-05-14	Areas/personal
Areas/personal/2024-10-15-questions-bpi-interview.md	2024-10-15-questions-bpi-interview.md	md	2024-10-15	Y	0	14084	2026-05-14	Areas/personal
Areas/personal/2024-10-17-2024-10-17-cv-thomas-tiemen-wielinga.md	2024-10-17-2024-10-17-cv-thomas-tiemen-wielinga.md	md	2024-10-17	Y	0	5493	2026-05-14	Areas/personal
Areas/personal/2024-10-17-2388-001.md	2024-10-17-2388-001.md	md	2024-10-17	Y	0	10183	2026-05-14	Areas/personal
Areas/personal/2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	md	2024-10-20	Y	0	4915	2026-05-14	Areas/personal
Areas/personal/2024-10-20-2024-10-20-cv-thomas-tiemen-wielinga.md	2024-10-20-2024-10-20-cv-thomas-tiemen-wielinga.md	md	2024-10-20	Y	0	5102	2026-05-14	Areas/personal
Areas/personal/2024-10-25-interviews-phase-2.md	2024-10-25-interviews-phase-2.md	md	2024-10-25	Y	0	2412	2026-05-14	Areas/personal
Areas/personal/2024-10-28-mid-term-call-visit-guidelines-management-internship.md	2024-10-28-mid-term-call-visit-guidelines-management-internship.md	md	2024-10-28	Y	0	7017	2026-05-14	Areas/personal
Areas/personal/2024-10-29-adc-project-review-approv-1305539433.md	2024-10-29-adc-project-review-approv-1305539433.md	md	2024-10-29	Y	0	83241	2026-05-14	Areas/personal
Areas/personal/2024-10-29-projectorganisatie-hilton.md	2024-10-29-projectorganisatie-hilton.md	md	2024-10-29	Y	0	1788	2026-05-14	Areas/personal
Areas/personal/2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	md	2024-11-01	Y	0	14205	2026-05-14	Areas/personal
Areas/personal/2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	md	2024-11-11	Y	0	16911	2026-05-14	Areas/personal
Areas/personal/2024-11-29-rowin-20-09.md	2024-11-29-rowin-20-09.md	md	2024-11-29	Y	0	15509	2026-05-14	Areas/personal
Areas/personal/2024-12-03-management-internship-report-aedes.md	2024-12-03-management-internship-report-aedes.md	md	2024-12-03	Y	0	27381	2026-05-14	Areas/personal
Areas/personal/2024-12-12-final-eval-thomas.md	2024-12-12-final-eval-thomas.md	md	2024-12-12	Y	0	3706	2026-05-14	Areas/personal
Areas/personal/2024-12-12-final-management-internship-report-aedes.md	2024-12-12-final-management-internship-report-aedes.md	md	2024-12-12	Y	0	54140	2026-05-14	Areas/personal
Areas/personal/2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	md	2024-12-12	Y	0	92732	2026-05-14	Areas/personal
Areas/personal/2024-12-13-aedes-final-eval.md	2024-12-13-aedes-final-eval.md	md	2024-12-13	Y	0	10685	2026-05-14	Areas/personal
Areas/personal/2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	md	2024-12-23	Y	0	17508	2026-05-14	Areas/personal
Areas/personal/2025-01-05-functieomschrijving-aedes-desired.md	2025-01-05-functieomschrijving-aedes-desired.md	md	2025-01-05	Y	0	1884	2026-05-14	Areas/personal
Areas/personal/2025-01-06-bpi-presentation-notes.md	2025-01-06-bpi-presentation-notes.md	md	2025-01-06	Y	0	2291	2026-05-14	Areas/personal
Areas/personal/2025-01-06-joost-final-eval.md	2025-01-06-joost-final-eval.md	md	2025-01-06	Y	0	12255	2026-05-14	Areas/personal
Areas/personal/2025-01-07-new-vs-old-raci.md	2025-01-07-new-vs-old-raci.md	md	2025-01-07	Y	0	423	2026-05-14	Areas/personal
Areas/personal/2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	md	2025-01-07	Y	0	331	2026-05-14	Areas/personal
Areas/personal/2025-01-20-layout-pitch.md	2025-01-20-layout-pitch.md	md	2025-01-20	Y	0	11746	2026-05-14	Areas/personal
Areas/personal/2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	md	2025-03-07	Y	0	14292	2026-05-14	Areas/personal
Areas/personal/2025-03-07-pg23-black-label-hospitality-research-report-202406.md	2025-03-07-pg23-black-label-hospitality-research-report-202406.md	md	2025-03-07	Y	0	156680	2026-05-14	Areas/personal
Areas/personal/2025-03-17-ko-arthur-van-schendelstraat-197.md	2025-03-17-ko-arthur-van-schendelstraat-197.md	md	2025-03-17	Y	0	50427	2026-05-14	Areas/personal
Areas/personal/2025-04-22-goal-setting-template.md	2025-04-22-goal-setting-template.md	md	2025-04-22	Y	0	2800	2026-05-14	Areas/personal
Areas/personal/2025-05-06-daliochangingworldordercharts.md	2025-05-06-daliochangingworldordercharts.md	md	2025-05-06	Y	0	76268	2026-05-14	Areas/personal
Areas/personal/2025-05-06-the-changing-world-order-ray-dalio.md	2025-05-06-the-changing-world-order-ray-dalio.md	md	2025-05-06	Y	0	579266	2026-05-14	Areas/personal
Areas/personal/2025-05-07-speech-voor-bregje.md	2025-05-07-speech-voor-bregje.md	md	2025-05-07	Y	0	2782	2026-05-14	Areas/personal
Areas/personal/2025-05-07-vergunning-koopwoning-niet-zelf-gebruiken-vergunning.md	2025-05-07-vergunning-koopwoning-niet-zelf-gebruiken-vergunning.md	md	2025-05-07	Y	0	1934	2026-05-14	Areas/personal
Areas/personal/2025-05-19-8-step-guide-to-becoming-a-prompt-engineer.md	2025-05-19-8-step-guide-to-becoming-a-prompt-engineer.md	md	2025-05-19	Y	0	21730	2026-05-14	Areas/personal
Areas/personal/2025-05-20-akte-van-hypotheek-arthur-van-schendelstraat-197-utrecht.md	2025-05-20-akte-van-hypotheek-arthur-van-schendelstraat-197-utrecht.md	md	2025-05-20	Y	0	17923	2026-05-14	Areas/personal
Areas/personal/2025-05-20-akte-van-levering-arthur-van-schendelstraat-197-utrecht.md	2025-05-20-akte-van-levering-arthur-van-schendelstraat-197-utrecht.md	md	2025-05-20	Y	0	24712	2026-05-14	Areas/personal
Areas/personal/2025-06-17-besluit-op-aanvraag-verhuurdervergunning-opkoopbescherming.md	2025-06-17-besluit-op-aanvraag-verhuurdervergunning-opkoopbescherming.md	md	2025-06-17	Y	0	12748	2026-05-14	Areas/personal
Areas/personal/2025-06-18-chardonnay-presentation-speaker-notes.md	2025-06-18-chardonnay-presentation-speaker-notes.md	md	2025-06-18	Y	0	7641	2026-05-14	Areas/personal
Areas/personal/2025-06-18-chardonnay-presentation.md	2025-06-18-chardonnay-presentation.md	md	2025-06-18	Y	0	4465	2026-05-14	Areas/personal
Areas/personal/2025-06-20-chardonnay-presentation.md	2025-06-20-chardonnay-presentation.md	md	2025-06-20	Y	0	7457	2026-05-14	Areas/personal
Areas/personal/2025-07-10-reactie-op-hospitavergunning-bezwaar.md	2025-07-10-reactie-op-hospitavergunning-bezwaar.md	md	2025-07-10	Y	0	3228	2026-05-14	Areas/personal
Areas/personal/2025-07-23-v2-how-sam-parr-uses-chatgpt-as-executive-coach-mfm.md	2025-07-23-v2-how-sam-parr-uses-chatgpt-as-executive-coach-mfm.md	md	2025-07-23	Y	0	4910	2026-05-14	Areas/personal
Areas/personal/2025-08-30-0001991-poslpro-1.md	2025-08-30-0001991-poslpro-1.md	md	2025-08-30	Y	0	1198	2026-05-14	Areas/personal
Areas/personal/2025-08-31-0000737-poslpro-1.md	2025-08-31-0000737-poslpro-1.md	md	2025-08-31	Y	0	1213	2026-05-14	Areas/personal
Areas/personal/2025-08-31-0001843-poslpro-42.md	2025-08-31-0001843-poslpro-42.md	md	2025-08-31	Y	0	1124	2026-05-14	Areas/personal
Areas/personal/2025-09-01-0001701-poslpro-1.md	2025-09-01-0001701-poslpro-1.md	md	2025-09-01	Y	0	1222	2026-05-14	Areas/personal
Areas/personal/2025-09-01-adobe-scan-1-sep-2025.md	2025-09-01-adobe-scan-1-sep-2025.md	md	2025-09-01	Y	0	1166	2026-05-14	Areas/personal
Areas/personal/2025-09-01-adobe-scan-31-aug-2025.md	2025-09-01-adobe-scan-31-aug-2025.md	md	2025-09-01	Y	0	1424	2026-05-14	Areas/personal
Areas/personal/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01-2.md	2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01-2.md	md	2025-09-01	Y	0	994	2026-05-14	Areas/personal
Areas/personal/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01.md	2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01.md	md	2025-09-01	Y	0	990	2026-05-14	Areas/personal
Areas/personal/2025-09-01-reimbursment-claim-canceled-flight-dbv-ams-30-08.md	2025-09-01-reimbursment-claim-canceled-flight-dbv-ams-30-08.md	md	2025-09-01	Y	0	11688	2026-05-14	Areas/personal
Areas/personal/2025-09-12-st-core-growth.md	2025-09-12-st-core-growth.md	md	2025-09-12	Y	0	5269	2026-05-14	Areas/personal
Areas/personal/2025-09-14-st-core-growth-sophia.md	2025-09-14-st-core-growth-sophia.md	md	2025-09-14	Y	0	20105	2026-05-14	Areas/personal
Areas/personal/2025-09-18-a-panic-attack-on-the-way-to-paradise.md	2025-09-18-a-panic-attack-on-the-way-to-paradise.md	md	2025-09-18	Y	0	6855	2026-05-14	Areas/personal
Areas/personal/2025-09-24-100m-leads-by-alex-hormozi-20231222143136.md	2025-09-24-100m-leads-by-alex-hormozi-20231222143136.md	md	2025-09-24	Y	0	392780	2026-05-14	Areas/personal
Areas/personal/2025-09-24-affiliate-black-book-100m-money-models.md	2025-09-24-affiliate-black-book-100m-money-models.md	md	2025-09-24	Y	0	19283	2026-05-14	Areas/personal
Areas/personal/2025-09-24-the-new-secret-chapter-how-to-make-money.md	2025-09-24-the-new-secret-chapter-how-to-make-money.md	md	2025-09-24	Y	0	41445	2026-05-14	Areas/personal
Areas/personal/2025-09-25-100m-journal.md	2025-09-25-100m-journal.md	md	2025-09-25	Y	0	60863	2026-05-14	Areas/personal
Areas/personal/2025-09-26-everythings-going-right-so-why-do-i-feel-restless.md	2025-09-26-everythings-going-right-so-why-do-i-feel-restless.md	md	2025-09-26	Y	0	7331	2026-05-14	Areas/personal
